fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 062112	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	0.1	50	0.5	FALSE	936659	0.139078643051595	0.598990440041883	0.594576203282525	6.7122149993715	0.0175496358722019	13218	18604000	23
20221030 062353	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	936659	0.167066706524049	0.59201109350466	0.568919814320953	8.9986167408996	0.0194403481047511	13778	18124000	24
20221030 062611	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	52	1	1	1	0.1	50	0.5	FALSE	936659	0.166029653621967	0.601625447000598	0.849276966273953	8.00810053644399	0.0135644151227234	17105	14990000	25
20221030 063251	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	743	1	1	1	0.1	50	0.5	FALSE	936659	0.0823613368355312	0.58439901070433	0.626278275514871	3.50525821378047	0.0177938276625872	15975	16050000	26
20221030 063549	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	0.1	50	0.5	FALSE	936659	0.0927301762249536	0.585848315227451	0.536198122595016	7.81508689574161	0.0161778218621361	15680	16160000	27
20221030 064112	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	662	1	1	1	0.1	50	0.5	FALSE	936659	0.145681697750393	0.59358184784647	0.658484798550192	3.97717991932347	0.015758878731353	15819	16762000	28
20221030 064505	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1370	1	1	1	0.1	50	0.5	FALSE	936659	0.188836032218242	0.850688788810233	0.627009662552504	2.74382693944918	0.0182503309398364	15843	14874000	29
20221030 065422	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2817	1	1	1	0.1	50	0.5	FALSE	936659	0.0241944172801427	0.822505581364269	0.894315520887636	3.25516715608188	0.0203033446661606	14532	17176000	30
20221030 070326	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4594	1	1	1	0.1	50	0.5	FALSE	936659	0.0084830809801328	0.848256396670779	0.103716220937297	3.87613138699858	0.015607436415744	18032	10656000	31
20221030 070519	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	0.1	50	0.5	FALSE	936659	0.182812448288912	0.710194340886386	0.631352823956349	8.5298066910522	0.0144513907451087	15913	15214000	32
